Country Name,Time,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],People using at least basic drinking water services,People using at least basic sanitation services,"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]",People using safely managed drinking water services
Australia,2000,7.59961653,99.71229519,99.99075567,87,..
China,2000,4.50828123,78.89696106,56.82011128,33,..
Canada,2000,8.24814415,99.22699033,99.86668211,87,98.16673937
France,2000,9.58447742,99.99999855,98.66302676,83,97.35587725
Germany,2000,9.8881979,100,99.21811125,91,99.84289934
Malaysia,2000,2.51463366,96.87855964,93.10424036,88,92.5773021
Pakistan,2000,2.74935055,87.36402076,30.9057923,2.6,34.82704208
Philippines,2000,3.05512357,85.97865351,64.23493046,26,40.57442691
Singapore,2000,3.343364,100,100,87,100
Switzerland,2000,9.11401939,99.99999944,99.88097108,87,96.69999946
United Arab Emirates,2000,2.37413526,99.61583298,99.16085627,87,..
United States,2000,12.48710918,..,99.87272763,87,..
Japan,2000,7.03456163,98.50412758,100,87,97.85424256
Italy,2000,7.56665516,99.55705953,99.88592623,87,94.76837962
Netherlands,2000,7.7069602,99.99999699,98.05647776,87,99.99387045
New Zealand,2000,7.4700222,99.99999977,99.99999977,87,84.39357124
Australia,2013,8.75082779,99.90958939,99.9972343,87,..
China,2013,4.71490669,91.20790795,81.24679824,89,..
Canada,2013,10.41469765,99.23268868,99.26167894,87,98.70725355
France,2013,11.40466881,100,98.65316972,83,98.5895541
Germany,2013,10.99848843,99.99999858,99.22479177,91,99.89072998
Malaysia,2013,3.51276922,97.03601918,95.16126897,85,93.47149872
Pakistan,2013,2.40178362,89.28197133,54.90051097,51,41.45769464
Philippines,2013,4.27408695,91.14273863,74.37995243,42,45.88467456
Singapore,2013,3.68562651,100,100,87,100
Switzerland,2013,10.46214485,99.9999993,99.88973318,87,96.69999932
United Arab Emirates,2013,3.59299517,99.88040853,99.11487866,87,..
United States,2013,15.98693848,99.26488934,99.804241,87,96.05080531
Japan,2013,10.67438698,98.83904119,99.96420532,87,98.2797729
Italy,2013,8.77543831,99.89132161,99.88557373,87,94.74056783
Netherlands,2013,10.58363628,99.99999885,97.75889066,87,99.97852067
New Zealand,2013,9.36019325,99.99999959,99.99999959,87,92.23928534
Australia,2014,9.84760189,99.96147641,99.99773265,87,..
China,2014,4.77790594,91.97311924,82.99847884,88,..
Canada,2014,10.25806713,99.23098341,99.17775068,87,98.76270634
France,2014,11.53414917,99.99999726,98.65238199,83,98.71844682
Germany,2014,11.02219391,100,99.22482477,91,99.89375301
Malaysia,2014,3.71036959,97.04368865,95.29830454,85,93.52266553
Pakistan,2014,2.45603824,89.43748479,56.67205633,55,42.46193936
Philippines,2014,3.70313668,91.56067672,75.50927736,44,46.09974467
Singapore,2014,3.87155652,100,100,87,100
Switzerland,2014,10.6164217,99.99999721,99.89258897,87,96.6999973
United Arab Emirates,2014,3.63020706,99.90398888,99.11193726,87,..
United States,2014,16.19240761,99.34764481,99.78304512,87,96.21326611
Japan,2014,10.7290144,98.87625381,99.96125905,87,98.32709288
Italy,2014,8.86791801,99.91703407,99.88552008,..,94.50815486
Netherlands,2014,10.56703758,100,97.74681598,87,99.97734124
New Zealand,2014,9.40168381,99.99999881,99.99999881,87,93.21999889
Australia,2015,10.18361282,99.9700009,99.99823101,87,..
China,2015,4.93827963,92.70634229,84.71931403,88,..
Canada,2015,10.74362469,99.22922133,99.09377561,87,98.8180621
France,2015,11.44077206,100,98.65159851,83,98.84819803
Germany,2015,11.18386841,99.99999831,99.22485185,91,99.89677489
Malaysia,2015,3.82201481,97.05220722,95.43319702,85,93.57384096
Pakistan,2015,2.45764362,89.59124695,58.43360674,57,43.4686383
Philippines,2015,3.8982749,91.97735056,76.64501878,49,46.31463336
Singapore,2015,4.18069839,100,100,87,100
Switzerland,2015,11.00794983,99.99999625,99.89544113,87,96.69999637
United Arab Emirates,2015,3.58359146,99.92774627,99.10909094,87,..
United States,2015,16.48109245,99.4293286,99.76231863,87,96.37470935
Japan,2015,10.74969959,98.91346643,99.95831279,87,98.37442062
Italy,2015,8.85689163,99.91703407,99.8854581,87,94.25135524
Netherlands,2015,10.32393837,100,97.73522175,87,99.97616035
New Zealand,2015,9.28344345,99.99999926,99.99999926,87,94.20071358
Australia,2016,10.09023094,99.96996668,99.99872937,87,..
China,2016,4.97955608,93.40787932,86.40947667,88,..
Canada,2016,11.03318405,99.22739609,99.00975125,87,98.87330749
France,2016,11.48530769,99.99999747,98.65080213,83,98.97879003
Germany,2016,11.23263836,100,99.22492692,91,99.89984053
Malaysia,2016,3.70085335,97.06169882,95.56602391,85,93.6252759
Pakistan,2016,2.57026353,89.74324599,60.18517155,62,44.47773044
Philippines,2016,3.95484328,92.39268342,77.78700616,57,46.52906494
Singapore,2016,4.39097595,100,100,87,100
Switzerland,2016,11.30005455,100,99.89829546,87,96.70000223
United Arab Emirates,2016,3.4660213,99.95167572,99.10632498,87,..
United States,2016,16.79314804,99.50989534,99.74208073,87,96.53506743
Japan,2016,10.65891552,98.95067906,99.95536653,87,98.42175614
Italy,2016,8.72533035,99.91703407,99.88540074,87,93.99455563
Netherlands,2016,10.2942524,99.99999718,97.72413012,87,99.9749763
New Zealand,2016,9.24379444,100,100,87,95.18142969
Australia,2017,10.1257143,99.96993751,99.99922772,87,..
China,2017,5.06592178,94.07732535,88.06830892,88,..
Canada,2017,10.86184978,99.22553538,98.92567651,87,98.92850337
France,2017,11.35755825,100,98.65001297,83,99.11024776
Germany,2017,11.32420826,99.99999885,99.22503642,91,99.90294679
Malaysia,2017,3.71472311,97.07118427,95.69193988,85,93.67532013
Pakistan,2017,2.78630086,89.89341028,61.92650683,62,45.48902311
Philippines,2017,3.96042776,92.80785571,78.93576279,54,46.74744374
Singapore,2017,4.36602068,100,100,87,100
Switzerland,2017,11.48099899,100,99.89987372,87,96.70000013
United Arab Emirates,2017,4.05960608,99.9757577,99.10362654,87,..
United States,2017,16.76793671,99.58934389,99.72235399,87,96.6943508
Japan,2017,10.65627098,98.98789168,99.95242026,87,98.46909942
Italy,2017,8.67773914,99.91703407,99.88533958,87,93.73775601
Netherlands,2017,10.1082983,100,97.71352663,87,99.97379893
New Zealand,2017,8.96694851,100,100,87,96.16214562
Australia,2018,10.07391548,99.96989377,99.99972608,87,..
China,2018,5.16790485,94.71350098,89.69421794,92,..
Canada,2018,10.84608173,99.22363094,98.84154159,87,98.98362609
France,2018,11.21255589,99.9999994,98.64921189,83,99.2425569
Germany,2018,11.45727539,100,99.22519294,91,99.90611558
Malaysia,2018,3.75944281,97.08076703,95.81884771,85,93.72420661
Pakistan,2018,2.82844954,90.04259791,63.66154836,62,46.50448507
Philippines,2018,3.9538188,93.22283512,80.09068945,62,46.97025902
Singapore,2018,4.07418776,100,100,87,100
Switzerland,2018,11.38538456,100,99.89987458,87,96.70000093
United Arab Emirates,2018,4.14547014,100,99.10102269,87,..
United States,2018,16.64094353,99.66759017,99.70313022,87,96.85243256
Japan,2018,10.74637508,99.0251043,99.949474,87,98.51645046
Italy,2018,8.68187714,99.91703407,99.88528605,87,93.4809564
Netherlands,2018,10.01993561,100,97.70364355,87,99.97261799
New Zealand,2018,9.0351162,100,100,87,97.14285716
Australia,2019,10.22989082,99.96985437,100,87,..
China,2019,5.3502779,95.3173719,91.28813654,88,..
Canada,2019,10.95021915,99.22165498,98.75732715,87,99.03861963
France,2019,11.09835148,100,98.64841455,83,99.37573798
Germany,2019,11.69622993,99.99999955,99.22538408,91,99.90934446
